证券名称,证券代码,所属申万行业名称(港股)(2021)
威雅利,0854.HK,----
中国水务,0855.HK,环保--环境治理--水务及水治理
伟仕佳杰,0856.HK,计算机--IT服务Ⅱ--IT服务Ⅲ
中国石油股份,0857.HK,石油石化--炼化及贸易--炼油化工
精优药业,0858.HK,----
中昌国际控股,0859.HK,----
APOLLO出行,0860.HK,纺织服饰--饰品--钟表珠宝
神州控股,0861.HK,计算机--软件开发--垂直应用软件
远见控股,0862.HK,----
OSL集团,0863.HK,----
永利地产发展,0864.HK,----
建德国际控股,0865.HK,----
中国秦发,0866.HK,----
康哲药业,0867.HK,医药生物--化学制药--原料药
信义玻璃,0868.HK,建筑材料--玻璃玻纤--玻璃制造
彩星玩具,0869.HK,----
中国疏浚环保,0871.HK,----
世茂服务,0873.HK,房地产--房地产服务--物业管理
白云山,0874.HK,医药生物--中药Ⅱ--中药Ⅲ
从玉智农,0875.HK,----
佳兆业健康,0876.HK,----
金朝阳集团,0878.HK,----
澳博控股,0880.HK,社会服务--旅游及景区--博彩
中升控股,0881.HK,汽车--汽车服务--汽车经销商
天津发展,0882.HK,----
中国海洋石油,0883.HK,石油石化--油气开采Ⅱ--油气开采Ⅲ
旭辉控股集团,0884.HK,房地产--房地产开发--住宅开发
英皇钟表珠宝,0887.HK,----
链信控股,0888.HK,----
连达科技控股,0889.HK,----
中国铁钛,0893.HK,----
万裕科技,0894.HK,----
东江环保,0895.HK,环保--环境治理--固废治理
兴胜创建,0896.HK,----
位元堂,0897.HK,----
万事昌国际,0898.HK,----
中加国信,0899.HK,----
AEON CREDIT,0900.HK,----
华能国际电力股份,0902.HK,公用事业--电力--火力发电
胡桃资本,0905.HK,----
高雅光学,0907.HK,----
明源云,0909.HK,计算机--软件开发--垂直应用软件
中国三迪,0910.HK,----
前海健康,0911.HK,----
信佳国际,0912.HK,----
港湾数字,0913.HK,----
海螺水泥,0914.HK,建筑材料--水泥--水泥制造
